"","date","site","site_name","variable","value"
"116",2016-01-15 19:00:00,"chbo","Chilbolton Observatory","nox",14.80275
"117",2016-01-15 20:00:00,"chbo","Chilbolton Observatory","nox",11.5668
"118",2016-01-15 21:00:00,"chbo","Chilbolton Observatory","nox",11.016
"119",2016-01-15 22:00:00,"chbo","Chilbolton Observatory","nox",10.7406
"120",NA,"chbo","Chilbolton Observatory","nox",13.2192
"121",2016-01-16 00:00:00,"chbo","Chilbolton Observatory","nox",12.9438
"122",2016-01-16 01:00:00,"chbo","Chilbolton Observatory","nox",11.49795
"123",2016-01-16 02:00:00,"chbo","Chilbolton Observatory","nox",8.1243
"124",2016-01-16 03:00:00,"chbo","Chilbolton Observatory","nox",7.4358
"125",2016-01-16 04:00:00,"chbo","Chilbolton Observatory","nox",8.19315
"126",2016-01-16 05:00:00,"chbo","Chilbolton Observatory","nox",10.8783
"127",2016-01-16 06:00:00,"chbo","Chilbolton Observatory","nox",12.393
"128",2016-01-16 07:00:00,"chbo","Chilbolton Observatory","nox",12.04875
"129",2016-01-16 08:00:00,"chbo","Chilbolton Observatory","nox",17.14365
"130",2016-01-16 09:00:00,"chbo","Chilbolton Observatory","nox",23.409
"131",2016-01-16 10:00:00,"chbo","Chilbolton Observatory","nox",24.71715
"132",2016-01-16 11:00:00,"chbo","Chilbolton Observatory","nox",17.00595
"133",2016-01-16 12:00:00,"chbo","Chilbolton Observatory","nox",14.38965
"134",2016-01-16 13:00:00,"chbo","Chilbolton Observatory","nox",12.87495
"135",2016-01-16 14:00:00,"chbo","Chilbolton Observatory","nox",13.70115
"136",2016-01-16 15:00:00,"chbo","Chilbolton Observatory","nox",15.07815
"137",2016-01-16 16:00:00,"chbo","Chilbolton Observatory","nox",18.1764
"138",2016-01-16 17:00:00,"chbo","Chilbolton Observatory","nox",20.31075
"139",2016-01-16 18:00:00,"chbo","Chilbolton Observatory","nox",25.68105
"140",2016-01-16 19:00:00,"chbo","Chilbolton Observatory","nox",25.8876
"141",2016-01-16 20:00:00,"chbo","Chilbolton Observatory","nox",32.42835
"142",2016-01-16 21:00:00,"chbo","Chilbolton Observatory","nox",22.7205
"143",2016-01-16 22:00:00,"chbo","Chilbolton Observatory","nox",17.6256
"144",NA,"chbo","Chilbolton Observatory","nox",42.48045
"145",2016-01-17 00:00:00,"chbo","Chilbolton Observatory","nox",52.785
"146",2016-01-17 01:00:00,"chbo","Chilbolton Observatory","nox",51.0867
"147",2016-01-17 02:00:00,"chbo","Chilbolton Observatory","nox",58.3848
"148",2016-01-17 03:00:00,"chbo","Chilbolton Observatory","nox",48.6081
"149",2016-01-17 04:00:00,"chbo","Chilbolton Observatory","nox",49.8474
"150",2016-01-17 05:00:00,"chbo","Chilbolton Observatory","nox",26.163
"151",2016-01-17 06:00:00,"chbo","Chilbolton Observatory","nox",15.6978
"152",2016-01-17 07:00:00,"chbo","Chilbolton Observatory","nox",13.97655
"153",2016-01-17 08:00:00,"chbo","Chilbolton Observatory","nox",11.63565
"154",2016-01-17 09:00:00,"chbo","Chilbolton Observatory","nox",9.98325
"155",2016-01-17 10:00:00,"chbo","Chilbolton Observatory","nox",11.9799
"156",2016-01-17 11:00:00,"chbo","Chilbolton Observatory","nox",12.87495
"157",2016-01-17 12:00:00,"chbo","Chilbolton Observatory","nox",14.66505
"158",2016-01-17 13:00:00,"chbo","Chilbolton Observatory","nox",15.21585
"159",2016-01-17 14:00:00,"chbo","Chilbolton Observatory","nox",14.38965
"160",2016-01-17 15:00:00,"chbo","Chilbolton Observatory","nox",14.1831
"161",2016-01-17 16:00:00,"chbo","Chilbolton Observatory","nox",9.01935
"162",2016-01-17 17:00:00,"chbo","Chilbolton Observatory","nox",11.7045
"163",2016-01-17 18:00:00,"chbo","Chilbolton Observatory","nox",12.393
"164",2016-01-17 19:00:00,"chbo","Chilbolton Observatory","nox",11.91105
"165",2016-01-17 20:00:00,"chbo","Chilbolton Observatory","nox",9.9144
"166",2016-01-17 21:00:00,"chbo","Chilbolton Observatory","nox",9.3636
"167",2016-01-17 22:00:00,"chbo","Chilbolton Observatory","nox",11.4291
"168",NA,"chbo","Chilbolton Observatory","nox",11.22255
"169",2016-01-18 00:00:00,"chbo","Chilbolton Observatory","nox",4.8654
"170",2016-01-18 01:00:00,"chbo","Chilbolton Observatory","nox",4.4982
"171",2016-01-18 02:00:00,"chbo","Chilbolton Observatory","nox",4.88835
"172",2016-01-18 03:00:00,"chbo","Chilbolton Observatory","nox",5.30145
"173",2016-01-18 04:00:00,"chbo","Chilbolton Observatory","nox",4.06215
"174",2016-01-18 05:00:00,"chbo","Chilbolton Observatory","nox",3.64905
"175",2016-01-18 06:00:00,"chbo","Chilbolton Observatory","nox",5.43915
"176",2016-01-18 07:00:00,"chbo","Chilbolton Observatory","nox",14.8716
"177",2016-01-18 08:00:00,"chbo","Chilbolton Observatory","nox",18.24525
"178",2016-01-18 09:00:00,"chbo","Chilbolton Observatory","nox",15.4224
"179",2016-01-18 10:00:00,"chbo","Chilbolton Observatory","nox",15.2847
"180",2016-01-18 11:00:00,"chbo","Chilbolton Observatory","nox",8.9964
"181",2016-01-18 12:00:00,"chbo","Chilbolton Observatory","nox",NA
"182",2016-01-18 13:00:00,"chbo","Chilbolton Observatory","nox",NA
"183",2016-01-18 14:00:00,"chbo","Chilbolton Observatory","nox",NA
"184",2016-01-18 15:00:00,"chbo","Chilbolton Observatory","nox",NA
"185",2016-01-18 16:00:00,"chbo","Chilbolton Observatory","nox",NA
"186",2016-01-18 17:00:00,"chbo","Chilbolton Observatory","nox",37.38555
"187",2016-01-18 18:00:00,"chbo","Chilbolton Observatory","nox",44.95905
"188",2016-01-18 19:00:00,"chbo","Chilbolton Observatory","nox",42.34275
"189",2016-01-18 20:00:00,"chbo","Chilbolton Observatory","nox",34.8381
"190",2016-01-18 21:00:00,"chbo","Chilbolton Observatory","nox",47.6442
"191",2016-01-18 22:00:00,"chbo","Chilbolton Observatory","nox",48.81465
"192",NA,"chbo","Chilbolton Observatory","nox",73.46295
"193",2016-01-19 00:00:00,"chbo","Chilbolton Observatory","nox",80.4168
"194",2016-01-19 01:00:00,"chbo","Chilbolton Observatory","nox",82.55115
"195",2016-01-19 02:00:00,"chbo","Chilbolton Observatory","nox",84.4101
"196",2016-01-19 03:00:00,"chbo","Chilbolton Observatory","nox",84.4101
"197",2016-01-19 04:00:00,"chbo","Chilbolton Observatory","nox",76.0104
"198",2016-01-19 05:00:00,"chbo","Chilbolton Observatory","nox",93.56715
"199",2016-01-19 06:00:00,"chbo","Chilbolton Observatory","nox",119.73015
"200",2016-01-19 07:00:00,"chbo","Chilbolton Observatory","nox",175.7052
"201",2016-01-19 08:00:00,"chbo","Chilbolton Observatory","nox",234.7785
"202",2016-01-19 09:00:00,"chbo","Chilbolton Observatory","nox",257.29245
"203",2016-01-19 10:00:00,"chbo","Chilbolton Observatory","nox",225.2772
"204",2016-01-19 11:00:00,"chbo","Chilbolton Observatory","nox",174.0528
"205",2016-01-19 12:00:00,"chbo","Chilbolton Observatory","nox",127.7856
"206",2016-01-19 13:00:00,"chbo","Chilbolton Observatory","nox",63.0666
"207",2016-01-19 14:00:00,"chbo","Chilbolton Observatory","nox",34.9758
"208",2016-01-19 15:00:00,"chbo","Chilbolton Observatory","nox",27.74655
"209",2016-01-19 16:00:00,"chbo","Chilbolton Observatory","nox",50.32935
"210",2016-01-19 17:00:00,"chbo","Chilbolton Observatory","nox",43.9263
"211",2016-01-19 18:00:00,"chbo","Chilbolton Observatory","nox",176.73795
"212",2016-01-19 19:00:00,"chbo","Chilbolton Observatory","nox",223.4871
"213",2016-01-19 20:00:00,"chbo","Chilbolton Observatory","nox",211.43835
"214",2016-01-19 21:00:00,"chbo","Chilbolton Observatory","nox",204.7599
"215",2016-01-19 22:00:00,"chbo","Chilbolton Observatory","nox",202.6944
"216",NA,"chbo","Chilbolton Observatory","nox",183.2787
"217",2016-01-20 00:00:00,"chbo","Chilbolton Observatory","nox",193.8816
"218",2016-01-20 01:00:00,"chbo","Chilbolton Observatory","nox",158.9058
"219",2016-01-20 02:00:00,"chbo","Chilbolton Observatory","nox",143.8965
"220",2016-01-20 03:00:00,"chbo","Chilbolton Observatory","nox",128.81835
"221",2016-01-20 04:00:00,"chbo","Chilbolton Observatory","nox",140.454
"222",2016-01-20 05:00:00,"chbo","Chilbolton Observatory","nox",150.7815
"223",2016-01-20 06:00:00,"chbo","Chilbolton Observatory","nox",157.04685
"224",2016-01-20 07:00:00,"chbo","Chilbolton Observatory","nox",195.05205
"225",2016-01-20 08:00:00,"chbo","Chilbolton Observatory","nox",277.6032
"226",2016-01-20 09:00:00,"chbo","Chilbolton Observatory","nox",304.11045
"227",2016-01-20 10:00:00,"chbo","Chilbolton Observatory","nox",309.9627
"228",2016-01-20 11:00:00,"chbo","Chilbolton Observatory","nox",344.9385
"229",2016-01-20 12:00:00,"chbo","Chilbolton Observatory","nox",283.31775
"230",2016-01-20 13:00:00,"chbo","Chilbolton Observatory","nox",119.59245
